Names,Prices,Link,Image Link
"
                                HP 255 G7 2M3E3ES Ryzen 5-3500U 4 GB 256 GB SSD 15.6"" Free Dos HD Dizüstü Bilgisayar","3.949,99
                TL
",https://www.n11.com/urun/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-256-gb-ssd-156-free-dos-hd-dizustu-bilgisayar-1701086?magaza=butcemegore,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-ram-256-gb-ssd-156-free-dos-dizustu-bilgisayar__0213651430625214.jpg
"
                                Asus X515MA-BR091T Celeron N4020 4 GB 128 GB SSD 15.6"" W10 Dizüstü Bilgisayar","2.879,99
                TL
",https://www.n11.com/urun/asus-x515ma-br091t-celeron-n4020-4-gb-128-gb-ssd-156-w10-dizustu-bilgisayar-1810735?magaza=guvenlikamiri,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/asus-x515ma-br091t-celeron-n4020-4-gb-128-gb-ssd-156-w10-dizustu-bilgisayar__0861198232746065.jpg
"
                                HP 250 G7 197Q9EA i3-1005G1 8 GB 256 GB SSD 15.6"" W10H Dizüstü Bilgisayar","4.389,00
                TL
",https://www.n11.com/urun/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar-1981559?magaza=indirim-yeri,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar__0656328865139516.jpg
"
                                Monster Tulpar T5 V20.2 i7-10870H 16 GB 512 GB SSD 6 GB RTX3060 15.6"" Free Dos Dizüstü Bilgisayar","14.050,15
                TL
",https://www.n11.com/urun/monster-tulpar-t5-v202-i7-10870h-16-gb-512-gb-ssd-6-gb-rtx3060-156-free-dos-dizustu-bilgisayar-1806445?magaza=monster,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/monster-tulpar-t5-v202-i7-10870h-16-gb-512-gb-ssd-6-gb-rtx3060-156-free-dos-dizustu-bilgisayar__0520612158875757.png
"
                                HP 15-DA2044NT 1E0S2EA03 i3-10110U 8 GB RAM 256 GB SSD 15.6"" W10H HD Dizüstü Bilgisayar","4.481,28
                TL
",https://www.n11.com/urun/hp-15-da2044nt-1e0s2ea03-i3-10110u-8-gb-ram-256-gb-ssd-156-w10h-hd-dizustu-bilgisayar-1654257?magaza=teknoraks,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15-da2044nt-1e0s2ea03-i3-10110u-8-gb-ram-256-gb-ssd-156-w10h-hd-dizustu-bilgisayar__1155391275935279.png
"
                                Huawei MateBook D16 Harvey-WAP9D Ryzen 5-4600H 16 GB 512 GB W10H Dizüstü Bilgisayar","9.399,00
                TL
",https://www.n11.com/urun/huawei-matebook-d16-harvey-wap9d-ryzen-5-4600h-16-gb-512-gb-w10h-dizustu-bilgisayar-1829938?magaza=pliples,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/huawei-matebook-d16-harvey-wap9d-ryzen-5-4600h-16-gb-512-gb-w10h-dizustu-bilgisayar__0700140100167660.jpg
"
                                HP 14S-FQ0014NT 227D6EA AMD Ryzen 3-3250U 4 GB 128 GB SSD 14"" W10H Dizüstü Bilgisayar","3.499,00
                TL
",https://www.n11.com/urun/hp-14s-fq0014nt-227d6ea-amd-ryzen-3-3250u-4-gb-128-gb-ssd-14-w10h-dizustu-bilgisayar-1680984?magaza=marmaraavm,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-14s-fq0014nt-227d6ea-amd-ryzen-3-3250u-4-gb-128-gb-ssd-14-w10h-dizustu-bilgisayar__0654269325659586.png
"
                                Dell Vostro 3500-FB115F41N i5-1135G7 4 GB RAM 1 TB HDD 15.6"" Linux Dizüstü Bilgisayar","5.209,99
                TL
",https://www.n11.com/urun/dell-vostro-3500-fb115f41n-i5-1135g7-4-gb-ram-1-tb-hdd-156-linux-dizustu-bilgisayar-1921861?magaza=techburada,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/dell-vostro-3500-fb115f41n-i5-1135g7-4-gb-ram-1-tb-hdd-156-linux-dizustu-bilgisayar__0715140723437941.jpg
"
                Lenovo V17 82GX007VTX i7-1065G7 12 GB 512 GB SSD 2 GB MX330 17.3"" Free Dos FHD Dizüstü Bilgisayar","8.826,23
                TL
",https://www.n11.com/urun/lenovo-v17-82gx007vtx-i7-1065g7-12-gb-512-gb-ssd-2-gb-mx330-173-free-dos-fhd-dizustu-bilgisayar-1822716?magaza=garajonline,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-v17-82gx007vtx-i7-1065g7-12-gb-512-gb-ssd-2-gb-mx330-173-free-dos-fhd-dizustu-bilgisayar__0981050396785185.png
"
                                HP Pavilion 14-DV0004NT 2W6J2EA i7-1165G7 8 GB 512 GB SSD 2 GB MX450 14"" W10H Dizüstü Bilgisayar","8.999,00
                TL
",https://www.n11.com/urun/hp-pavilion-14-dv0004nt-2w6j2ea-i7-1165g7-8-gb-512-gb-ssd-2-gb-mx450-14-w10h-dizustu-bilgisayar-1800569?magaza=indirim-yeri,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-pavilion-14-dv0004nt-2w6j2ea-i7-1165g7-8-gb-512-gb-ssd-2-gb-mx450-14-w10h-dizustu-bilgisayar__0572405753628888.jpg
"
                                Apple MacBook Air MGND3TU/A Apple M1 8 GB RAM 256 GB SSD 13.3"" MacOS Dizüstü Bilgisayar Altın","9.749,99
                TL
",https://www.n11.com/urun/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar-altin-1722257?magaza=centralteknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar__0710601743562865.jpg
"
                                Asus X515JF-EJ013 i5-1035G1 8 GB 512 GB SSD 2 GB MX130 15.6"" Free Dos Dizüstü Bilgisayar","5.599,99
                TL
",https://www.n11.com/urun/asus-x515jf-ej013-i5-1035g1-8-gb-512-gb-ssd-2-gb-mx130-156-free-dos-dizustu-bilgisayar-1996487?magaza=gpnteknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/asus-x515jf-ej013-i5-1035g1-8-gb-512-gb-ssd-2-gb-mx130-156-free-dos-dizustu-bilgisayar__0971086879473865.jpg
"
                                Lenovo Ideapad 3 81W1005TTX AMD Ryzen 5-3500U 8 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar","4.869,99
                TL
",https://www.n11.com/urun/lenovo-ideapad-3-81w1005ttx-amd-ryzen-5-3500u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-1654225?magaza=techburada,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-ideapad-3-81w1005ttx-amd-ryzen-5-3500u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar__0332483032582154.jpg
"
                                Lenovo IP Gaming 3 82EY00MJTX R7-4800H 16 GB 512 GB SSD GTX1650Ti 15.6"" Dos Dizüstü Bilgisayar","9.589,99
                TL
",https://www.n11.com/urun/lenovo-ip-gaming-3-82ey00mjtx-r7-4800h-16-gb-512-gb-ssd-gtx1650ti-156-dos-dizustu-bilgisayar-2015288?magaza=centralteknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-ip-gaming-3-82ey00mjtx-r7-4800h-16-gb-512-gb-ssd-gtx1650ti-156-dos-dizustu-bilgisayar__0784531654418955.jpg
